COUNTRY,INDICATOR,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Andorra, Principality of","Population, Persons for countries / Index for country groups",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.071,0.072,0.073,0.075,0.076,0.078,0.078,0.08,0.082,0.085,0.087,0.089,0.091,0.093,0.096,0.098,0.1
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP)",74.783,77.807,79.704,81.017,82.877,84.245,84.053,84.682,85.574,87.797,90.972,93.517,94.438,95.484,96.262,95.712,96.22,98.219,98.741,97.737,96.987,96.105,95.594,95.304,95.81,95.083,95.432,95.92,96.947,95.007,94.764,94.477,94.245,95.559,97.995,98.186,98.445,98.983,99.841,100.351,99.43,99.931,103.788,106.807,109.925,113.036,115.287,117.594,119.943,122.353,124.801
Finland,"Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency",33.682,38.094,42.831,47.79,53.498,58.285,62.74,67.751,76.754,85.929,90.964,86.913,84.786,85.61,90.646,98.454,101.977,110.764,120.431,126.888,136.386,144.613,148.44,151.714,158.741,164.666,172.861,187.059,194.253,181.735,188.147,197.655,200.378,203.497,205.855,210.192,215.717,224.706,231.905,238.518,236.387,248.764,266.135,272.874,275.963,278.628,287.491,297.492,307.071,317.575,328.954
Finland,"Gross debt, General government, Percent of GDP",10.893,11.544,13.851,15.379,15.18,15.837,16.443,17.649,16.535,14.269,13.855,21.89,39.286,54.196,56.194,55.204,55.363,52.235,46.843,44.021,42.447,40.897,40.129,42.697,42.577,39.87,38.005,33.906,32.563,41.534,50.113,52.024,57.856,60.812,64.813,68.764,68.649,66.581,65.278,65.328,75.314,73.2,74.031,77.522,82.149,86.784,89.057,90.605,92.004,93.244,94.171
Finland,"Current account balance (credit less debit), Percent of GDP",-2.612,-0.909,-1.738,-2.202,-0.039,-1.434,-0.941,-1.887,-2.466,-4.867,-5.051,-5.355,-4.662,-1.462,0.822,3.832,3.518,4.753,4.708,4.846,7.161,7.676,7.821,4.315,5.604,2.877,3.931,4.029,2.543,1.996,1.362,-1.552,-2.23,-1.883,-1.357,-0.908,-1.972,-0.655,-1.611,-0.138,0.424,0.33,-2.416,-0.819,-0.037,0.132,-0.071,-0.224,-0.331,-0.388,-0.321
Euro Area (EA),"Revenue, General government, Percent of GDP",,,,,,,,,,,,44.977,46.102,46.859,46.556,45.823,46.223,46.264,46.039,46.468,45.943,45.258,44.837,44.76,44.437,44.59,44.971,45.125,44.883,44.89,44.716,45.328,46.433,47.093,47.039,46.61,46.442,46.402,46.582,46.457,46.555,46.906,46.501,45.906,46.477,46.729,46.754,46.462,46.508,46.544,46.591
Euro Area (EA),"Terms of trade of goods, percent change",-7.427,-6.3,2.214,0.521,-0.216,1.037,11.84,1.738,0.66,-1.872,-0.203,-5.415,1.891,0.805,0.209,0.178,0.054,-0.508,2.327,-0.721,-3.677,0.732,1.537,1.305,-0.959,-1.649,-1.429,0.595,-1.877,4.048,-2.901,-2.704,-0.369,1.026,1.303,3.493,1.623,-1.472,-1.192,0.778,1.905,-2.842,-5.289,3.879,1.401,1.452,0.791,-0.021,-0.1,-0.143,-0.12
Euro Area (EA),"Financial derivatives and employee stock options, Net (assets minus liabilities), US dollar",,,,,,,,,,,,,,,,,,,,-3.958,9.382,0.66,11.635,15.548,10.552,21.67,0.703,91.52,37.209,-10.631,-4.36,5.252,38.769,-0.499,81.905,123.804,-13.326,7.607,60.805,-9.753,21.7,75.473,112.848,8.806,51.231,,,,,,
Finland,"Gross debt, General government, Domestic currency",3.669,4.398,5.933,7.35,8.121,9.231,10.316,11.958,12.691,12.262,12.603,19.025,33.309,46.397,50.937,54.351,56.458,57.858,56.414,55.857,57.892,59.142,59.567,64.778,67.587,65.652,65.696,63.425,63.254,75.482,94.286,102.829,115.931,123.75,133.42,144.537,148.088,149.611,151.384,155.819,178.032,182.096,197.023,211.539,226.702,241.804,256.03,269.541,282.517,296.119,309.778
Japan,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",24128.71,24974.153,25612.938,26360.325,27344.372,28576.696,29361.212,30578.86,32478.198,33945.014,35470.017,36574.555,36773.805,36486.766,36779.791,37651.186,38746.215,39033.331,38434.47,38233.997,39215.348,39273.547,39207.376,39736.256,40573.139,41299.362,41868.01,42485.604,41986.847,39640.449,41250.725,41184.21,41841.741,42754.172,42952.683,43671.806,44007.06,44819.893,45197.656,45113.805,43360.903,44656.82,45240.424,46017.207,46285.303,47010.766,47552.913,48112.645,48648.941,49187.609,49728.475
Japan,"Gross domestic product (GDP), Constant prices, Domestic currency",273390.3,285038.3,294387,305073.8,318530.2,334965.7,345999.6,362084.7,386205.4,405229.2,424846.1,439814.8,443775.8,441737.8,446522.3,458270.2,472631.9,477269.5,471206.7,469633.1,482616.9,484480.2,484683.5,492124.1,502882.4,511954,518979.7,526681.2,520233.1,490615.1,510720,510841.6,517864.4,528248.1,529812.7,538081.2,542137.5,551220,554766.6,552535.4,529501.4,543779.9,549002.4,555837.9,556417.7,562403.889,565961.742,569552.679,572693.754,575692.694,578546.142
"Andorra, Principality of","Gross domestic product (GDP), Current prices, Per capita, Domestic currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37022.478,37367.712,35577.998,34367.264,34897.123,35054.23,35795.91,35507.661,35775.497,36346.543,32443.633,35342.554,39347.821,41134.417,42852.911,43861.895,44289.444,44663.077,45039.466,45419.74,45804.337
Euro Area (EA),"Gross capital formation, Percent of GDP",,,,,,,,,,,,26.222,24.652,22.461,23.491,22.349,21.69,21.803,22.56,22.816,23.385,22.858,21.789,21.689,21.909,22.184,23.198,23.916,23.411,20.179,20.76,21.319,19.803,19.451,19.786,20.173,20.394,20.992,21.609,22.383,22.013,22.779,23.878,22.372,21.312,21.526,21.501,21.578,21.688,21.686,21.724
Japan,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",-7.761,2.136,-0.674,-3.443,10.537,-2.691,3.756,9.018,18.661,17.994,8.106,-1.112,-1.087,-1.285,23.642,11.42,11.768,0.512,-6.804,3.702,9.562,1.163,0.787,3.394,8.504,5.946,4.704,2.271,0.733,-15.56,11.285,5.728,5.453,3.169,8.125,0.44,-1.175,3.307,3.814,0.988,-6.763,5.206,8.255,-0.848,0.972,3.635,1.844,1.605,1.598,1.294,1.252
Euro Area (EA),"Expenditure, General government, Percent of GDP",,,,,,,,,,,,50.072,51.243,52.719,51.611,53.15,50.604,49.34,48.525,48.053,47.281,47.27,47.609,47.92,47.332,47.247,46.559,45.874,47.14,51.144,51.035,49.569,50.234,50.135,49.58,48.571,47.92,47.405,47.033,46.996,53.568,52.012,49.886,49.455,49.533,49.892,50.198,50.104,50.095,50.172,50.25
"Andorra, Principality of","All Items, Consumer price index (CPI), End-of-period (EoP), percent change",,,,,,,,,,,,,,,,,,,,,,,3.065,2.764,3.317,3.272,3.012,4.078,0.884,0.999,1.703,2.161,1.057,0.178,-0.867,-0.527,0.943,2.371,0.502,0.948,-0.546,3.281,7.151,4.562,2.607,2,1.7,1.7,1.7,1.7,1.7
Finland,"Structural balance, General government, Percent",-2.252,0.725,-0.386,-2.332,-0.71,-0.741,-0.195,-2.867,-0.397,-0.262,2.419,-0.394,-1.797,-2.79,-2.646,-3.223,-1.074,-0.988,0.907,0.603,5.003,3.677,3.6,2.534,1.85,2.137,2.493,2.027,1.278,-0.39,-1.821,-1.39,-1.521,-1.088,-1.038,-0.445,-0.895,-1.586,-1.862,-2.342,-4.466,-3.178,-1.102,-2.479,-3.377,-3.42,-3.355,-3.673,-3.703,-3.933,-4.052
"Andorra, Principality of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66922.092,67413.494,64072.904,61616.133,62618.715,62487.835,63588.799,62367.929,62208.524,62344.412,55036.844,58458.65,62438.303,61407.364,62023.811,62056.871,61604.87,61095.969,60591.271,60090.743,59594.35
Finland,"Gross domestic product (GDP), Current prices, Domestic currency",33.682,38.094,42.831,47.79,53.498,58.285,62.74,67.751,76.754,85.929,90.964,86.913,84.786,85.61,90.646,98.454,101.977,110.764,120.431,126.888,136.386,144.613,148.44,151.714,158.741,164.666,172.861,187.059,194.253,181.735,188.147,197.655,200.378,203.497,205.855,210.192,215.717,224.706,231.905,238.518,236.387,248.764,266.135,272.874,275.963,278.628,287.491,297.492,307.071,317.575,328.954
"Andorra, Principality of","Current account balance (credit less debit), Percent of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01,15.526,15.022,11.643,14.221,15.008,15.232,15.267,15.292,15.303,15.357,15.368
Japan,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",8800.027,9970.132,10856.993,11611.353,12479.54,13454.365,14102.047,15050.83,16549.425,17975.127,19485.591,20771.982,21361.108,21696.691,22337.983,23346.612,24465.497,25071.797,24964.62,25185.818,26417.417,27052.325,27426.44,28345.164,29720.361,31200.987,32606.041,33983.429,34231.458,32517.785,34249.99,34900.287,36117.685,37533.424,38364.455,39368.764,40047.948,41518.116,42247.099,42817.548,42564.675,44656.82,48458.11,51113.892,52688.001,54815.317,56444.311,58066.609,59667.38,61384.438,63223.476
Finland,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",13.761,9.897,8.878,8.518,6.132,4.931,3.377,3.622,5.896,7.143,2.067,4.55,2.599,2.916,1.646,-0.465,1.726,1.599,0.78,2.241,2.869,2.35,1.716,1.191,0.147,1.016,1.236,1.939,3.381,1.806,2.766,2.605,3.449,1.933,0.552,-0.249,1.1,0.505,1.319,1.137,0.192,3.164,8.792,1.324,1.56,1.966,2.018,2,2,2,2
Japan,"All Items, Consumer price index (CPI), Period average, percent change",7.808,4.935,2.749,1.88,2.251,2.038,0.608,0.127,0.654,2.294,3.071,3.273,1.727,1.255,0.69,-0.088,0.138,1.699,0.652,-0.347,-0.687,-0.694,-0.897,-0.263,-0.01,-0.288,0.256,0.046,1.382,-1.331,-0.742,-0.277,-0.049,0.332,2.758,0.799,-0.124,0.487,0.99,0.469,-0.027,-0.235,2.496,3.268,2.739,3.287,2.144,2.012,2.006,2.006,1.999
"Andorra, Principality of","Net lending (+) / net borrowing (-), General government, Domestic currency",,,,,,,,,,,,,,,,,,,,,,0.011,0.018,0.037,0.043,-0.002,-0.04,-0.082,-0.089,-0.093,-0.009,0.011,-0.041,0.081,0.053,0.042,0.106,0.089,0.073,0.065,-0.027,-0.033,0.155,0.075,0.107,0.097,0.1,0.095,0.105,0.103,0.108
Greece,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",9.337,7.719,-2.74,2.308,-2.057,4.615,13.077,1.541,8.372,10.301,8.066,5.433,0.784,0.836,1.843,8.332,10.484,10.648,17.41,15.607,18.809,1.39,-5.768,6.484,6.941,0.125,9.785,12.915,3.226,-19.61,-4.235,-9.793,-5.572,-3.785,6.826,8.405,3.177,5.185,6.356,1.283,-0.883,9.702,3.051,1.529,2.526,3.378,5.198,1.978,2.157,2.509,2.574
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change",7.24,4.043,2.439,1.647,2.297,1.65,-0.228,0.749,1.053,2.598,3.617,2.797,0.985,1.108,0.814,-0.571,0.53,2.078,0.531,-1.017,-0.768,-0.909,-0.532,-0.303,0.531,-0.759,0.367,0.511,1.07,-2.001,-0.256,-0.303,-0.246,1.395,2.549,0.195,0.264,0.546,0.868,0.511,-0.919,0.505,3.86,2.908,2.92,2.83,1.991,2.002,1.997,2.009,2.001
"Andorra, Principality of","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",,,,,,,,,,,,,,,,,,,,,2.198,2.43,2.58,2.859,3.175,3.451,3.729,3.889,3.744,3.567,3.539,3.612,3.496,3.43,3.577,3.662,3.834,3.916,4.152,4.395,4.031,4.65,5.457,5.805,6.149,6.45,6.671,6.885,7.102,7.334,7.584
Euro Area (EA),"Current account balance (credit less debit), US dollar",,,,,,,,,,,,,,,,,,56.94,22.97,-36.11,-94.213,-23.63,43.448,21.655,71.65,11.156,-18.444,5.189,-259.933,-39.176,-40.814,-47.925,124.329,256.232,321.904,341.409,403.676,430.419,412.042,324.683,242.165,410.804,-20.331,264.489,430.644,409.257,419.377,425.029,433.437,446.048,454.066
Finland,"Output gap, Percent of potential GDP",4.739,2.37,1.869,1.812,1.916,2.034,2.118,4.879,8.047,10.307,7.686,-0.349,-5.065,-7.188,-5.283,-3.706,-3.144,-0.477,1.023,1.451,3.22,2.14,0.506,-0.534,0.601,0.873,2.76,6.177,5.475,-3.732,-1.197,0.681,-1.214,-2.415,-3.11,-2.972,-1.085,1.367,1.668,2.226,-1.067,0.795,0.763,-0.975,-1.458,-1.738,-1.227,,,,
Euro Area (EA),"All Items, Consumer price index (CPI), Period average, percent change",,,,,,,,,,,,4.146,3.632,3.239,2.72,2.446,1.978,1.569,1.102,1.101,2.102,2.343,2.251,2.081,2.145,2.179,2.182,2.135,3.273,0.291,1.621,2.714,2.498,1.351,0.432,0.193,0.235,1.538,1.755,1.196,0.252,2.588,8.384,5.422,2.364,2.067,1.897,2.103,2.015,2.041,2.045
Japan,"Gross domestic product (GDP), Current prices, US dollar",1129.378,1245.221,1158.731,1270.86,1345.825,1427.02,2120.084,2580.749,3125.725,3109.455,3185.904,3648.066,3980.703,4536.941,4998.798,5545.566,4923.393,4492.449,4098.363,4635.982,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5054.069,5039.148,4263.231,4204.573,4019.382,4279.828,4463.634,4624.079,4820.609,4947.728,5119.885
Finland,Unemployment rate,5.288,5.743,6.076,6.147,5.928,6.049,6.665,4.9,4.208,3.108,3.2,6.7,11.8,16.5,16.7,15.5,14.6,12.7,11.5,10.275,9.875,9.2,9.175,9.075,8.875,8.475,7.775,6.95,6.425,8.325,8.5,7.9,7.8,8.325,8.825,9.575,8.975,8.825,7.425,6.742,7.767,7.608,6.767,7.233,8.392,8.95,8.662,8.59,8.52,8.35,8.26
"Andorra, Principality of","Revenue, General government, Domestic currency",,,,,,,,,,,,,,,,,,,,,,0.473,0.485,0.544,0.596,0.592,0.654,0.715,0.733,0.698,0.742,0.769,0.801,0.849,0.833,0.88,1.011,1.014,1.052,1.075,1.045,1.065,1.276,1.331,1.49,1.543,1.595,1.647,1.707,1.76,1.822
Finland,"Current account balance (credit less debit), US dollar",-1.403,-0.478,-0.923,-1.124,-0.021,-0.806,-0.693,-1.731,-2.694,-5.797,-7.159,-6.866,-5.275,-1.304,0.852,5.143,4.646,6.038,6.317,6.56,9.024,9.942,10.969,7.404,11.061,5.898,8.534,10.329,7.265,5.053,3.399,-4.268,-5.745,-5.088,-3.711,-2.117,-4.706,-1.662,-4.414,-0.368,1.144,0.972,-6.776,-2.416,-0.11,0.417,-0.238,-0.775,-1.18,-1.429,-1.224
Finland,"Net debt, General government, Percent of GDP",62.466,61.906,57.103,53.906,53.628,56.145,57.742,57.727,60.364,68.687,73.076,70.264,51.242,33.255,33.736,8.363,12.42,15.3,12.239,7.822,1.754,0.4,-2.765,-1.432,-4.345,-6.938,-7.057,-7.269,-9.892,-7.33,3.169,5.045,9.464,12.965,17.313,18.554,21.467,22.043,24.632,27.251,33.528,34.512,32.438,34.622,38.64,42.83,45.449,47.622,49.548,51.405,53.019
Euro Area (EA),"Exports of goods and services, US dollar",,,,,,,,,,,,,,,,,,,,1121.284,1169.797,1204.368,1310.184,1544.87,1862.049,2031.58,2308.322,2755.409,3071.498,2469.737,2749.518,3219.505,3223.221,3322.143,3481.297,3177.139,3186.768,3508.735,3802.75,3763.706,3467.148,4172.51,4448.623,4549.885,4695.419,,,,,,
Japan,"Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1027.574,1172.718,1286.024,1384.896,1498.171,1625.293,1712.631,1836.663,2028.1,2211.448,2405.271,2574.239,2656.617,2707.091,2794.847,2928.511,3075.586,3159.32,3154.247,3188.197,3350.556,3439.225,3494.138,3617.819,3796.313,3985.988,4165.299,4341.635,4371.095,4147.662,4370.105,4461.333,4606.874,4779.228,4876.87,4998.947,5084.491,5262.255,5344.061,5404.463,5356.711,5604.066,6060.3,6362.781,6527.542,6758.231,6923.253,7084.044,7238.793,7404.119,7580.386
"Andorra, Principality of","Gross domestic product (GDP), Constant prices, Domestic currency",,,,,,,,,,,,,,,,,,,,,1.992,2.153,2.251,2.447,2.646,2.789,2.923,2.968,2.803,2.655,2.602,2.602,2.473,2.385,2.445,2.48,2.572,2.581,2.622,2.674,2.375,2.572,2.818,2.891,2.989,3.06,3.109,3.156,3.203,3.251,3.3
Euro Area (EA),"Structural balance, General government, Percent",,,,,,,,,,,,,,,,-4.187,-3.151,-2.289,-2.024,-1.344,-2.866,-2.555,-2.948,-2.894,-2.853,-2.503,-2.209,-2.25,-3.431,-4.639,-4.694,-3.719,-2.008,-1.201,-0.777,-0.537,-0.51,-0.597,-0.338,-0.535,-3.535,-3.964,-3.624,-3.669,-3.076,-3.036,-3.353,,,,
Finland,"Structural balance, General government, Domestic currency",-0.746,0.278,-0.167,-1.127,-0.384,-0.436,-0.123,-1.907,-0.291,-0.21,2.043,-0.343,-1.605,-2.573,-2.532,-3.296,-1.131,-1.099,1.081,0.754,6.61,5.207,5.318,3.865,2.919,3.488,4.194,3.571,2.354,-0.737,-3.467,-2.73,-3.085,-2.268,-2.205,-0.964,-1.952,-3.515,-4.247,-5.465,-10.672,-7.843,-2.912,-6.832,-9.456,-9.696,-9.765,-11.027,-11.446,-12.523,-13.322
Finland,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",1.829,3.629,1.313,-0.654,1.677,1.582,2.183,-0.287,3.871,5.765,4.748,-1.717,-6.866,-8.534,-5.423,-5.203,-2.018,0.396,3.064,2.965,7.619,5.356,3.967,2.265,2.085,2.545,3.728,4.777,3.649,-2.852,-2.511,-0.991,-1.939,-2.421,-2.841,-2.286,-1.417,-0.382,-0.682,-0.794,-5.463,-2.741,-0.23,-3.093,-4.314,-4.172,-3.23,-2.646,-2.153,-2.158,-2.026
Euro Area (EA),"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",2.767,-1.994,0.802,0.33,5.535,4.568,5.36,8.011,7.731,9.447,7.642,6.522,3.382,-5.056,8.663,8.278,4.111,9.823,10.298,7.304,11.887,2.764,1.118,2.934,6.312,5.93,8.437,6.718,-0.483,-11.626,8.897,4.242,-1.251,1.753,4.4,7.516,3.951,4.95,3.723,4.624,-8.352,8.981,8.224,-1.573,-0.728,2.331,1.776,2.366,2.767,2.689,2.625
Finland,"Primary net lending (+) / net borrowing (-), General government, Domestic currency",0.616,1.382,0.562,-0.313,0.897,0.922,1.369,-0.194,2.971,4.954,4.319,-1.493,-5.821,-7.306,-4.916,-5.123,-2.058,0.439,3.69,3.762,10.391,7.745,5.888,3.437,3.31,4.19,6.445,8.936,7.088,-5.183,-4.724,-1.959,-3.885,-4.926,-5.849,-4.804,-3.056,-0.858,-1.582,-1.894,-12.913,-6.818,-0.612,-8.439,-11.906,-11.624,-9.286,-7.873,-6.612,-6.853,-6.665
Euro Area (EA),"Gross domestic product (GDP), Price deflator, Index",,,,,,,,,,,,60.478,62.777,63.954,65.223,67.936,69.659,69.503,70.251,71.412,72.415,74.237,76.093,77.791,79.311,80.847,82.493,84.546,86.327,87.206,87.837,88.817,89.947,91.067,91.926,93.202,94.049,95.127,96.578,98.219,100,102.098,107.415,113.824,117.201,119.724,122.087,124.65,127.226,129.873,132.6
Japan,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021",7.778,7.924,8.142,8.229,8.224,8.348,8.351,8.413,8.596,8.706,8.768,8.875,8.041,7.858,7.721,7.645,7.597,7.371,7.088,6.826,6.674,6.539,6.366,6.236,6.06,5.897,5.684,5.484,5.269,5,4.951,4.77,4.685,4.626,4.484,4.408,4.307,4.22,4.028,3.844,3.819,3.568,3.476,3.403,3.298,3.234,3.158,3.08,3.001,2.926,2.853
Japan,"Population, Persons for countries / Index for country groups",116.769,117.623,118.451,119.271,120.05,120.8,121.446,122.031,122.548,123.028,123.438,123.928,124.367,124.77,125.116,125.436,125.711,126.011,126.349,126.587,126.831,127.132,127.4,127.634,127.734,127.752,127.746,127.757,127.692,127.551,127.594,127.831,127.552,127.333,127.12,126.978,126.96,126.746,126.495,126.221,125.849,125.492,125.063,124.482,123.89,123.291,122.656,121.999,121.319,120.619,119.898
Euro Area (EA),"Output gap, Percent of potential GDP",,,,,,,,,,,,1.883,1.02,-2.266,-1.671,-1.158,-1.631,-1.127,-0.466,0.016,0.982,1.044,0.107,-0.983,-0.61,-0.578,1.032,2.656,2.126,-2.975,-1.635,-0.661,-2.17,-3.05,-2.717,-2.237,-1.618,-0.435,0.09,0.392,-5.331,-1.572,0.791,0.185,-0.183,-0.287,-0.211,-0.008,0.12,0.18,0.144
Japan,"Gross domestic product (GDP), Current prices, Per capita, Domestic currency",2193005.731,2334710.094,2436555.993,2530745.293,2662750.156,2817832.168,2941862.439,3058846.683,3268650.876,3486956.045,3737045.666,3965343.972,4053818.939,4043430.399,4083529.195,4158395.998,4260257.972,4313477.867,4246165.901,4171596.609,4221494.688,4181893.67,4116776.513,4105230.499,4144543.92,4168354.311,4189322.191,4221138.107,4133559.049,3880330.353,3962014.51,3891463.327,3923698.42,3995054.421,4081286.506,4237226.28,4287683.071,4363632.777,4400400.278,4420120.305,4288052.921,4407205.515,4482607.919,4745289.462,4910780.151,5126519.148,5287157.27,5457502.116,5628690.777,5803450.248,5982171.943
Finland,"Net lending (+) / net borrowing (-), General government, Percent of GDP",2.88,4.779,2.401,0.359,2.668,2.553,3.345,0.719,4.872,7.138,6.633,0.301,-4.881,-8.092,-6.407,-5.976,-3.37,-1.325,1.537,1.596,6.729,4.892,3.975,2.34,2.158,2.589,3.925,5.115,4.18,-2.484,-2.575,-1.013,-2.155,-2.522,-2.995,-2.427,-1.701,-0.629,-0.872,-0.933,-5.534,-2.693,-0.179,-2.985,-4.406,-4.559,-3.94,-3.701,-3.412,-3.496,-3.392
"Andorra, Principality of","Gross domestic product (GDP), Current prices, Domestic currency",,,,,,,,,,,,,,,,,,,,,1.551,1.729,1.866,2.092,2.332,2.541,2.755,2.888,2.789,2.645,2.602,2.607,2.482,2.405,2.463,2.515,2.617,2.656,2.725,2.818,2.531,2.811,3.21,3.501,3.732,3.91,4.041,4.17,4.304,4.442,4.585
Euro Area (EA),Unemployment rate,,,,,,,,,,,,8.21,9.11,9.958,10.617,10.65,10.8,10.8,10.483,9.792,9.058,8.525,8.758,9.192,9.392,9.242,8.508,7.65,7.692,9.692,10.283,10.3,11.508,12.142,11.725,10.975,10.125,9.133,8.217,7.592,7.975,7.783,6.8,6.575,6.392,6.443,6.341,6.216,6.16,6.118,6.114
Finland,"Gross domestic product (GDP), Constant prices, Domestic currency",103.692,105.033,108.276,111.657,115.245,119.321,122.573,126.936,133.551,140.344,140.641,132.371,127.987,126.988,132.021,137.609,142.648,151.774,160.052,167.077,176.69,181.355,184.415,188.125,195.66,201.095,209.178,220.292,222.019,204.089,210.554,215.585,212.301,210.221,209.216,210.192,215.598,222.72,225.377,228.419,222.729,228.69,230.435,228.271,229.199,230.361,233.382,236.456,239.58,242.55,245.434
Finland,"Population, Persons for countries / Index for country groups",4.771,4.788,4.812,4.842,4.87,4.894,4.911,4.926,4.939,4.954,4.974,4.998,5.029,5.055,5.078,5.099,5.117,5.132,5.147,5.16,5.171,5.181,5.195,5.206,5.22,5.237,5.256,5.277,5.3,5.326,5.351,5.375,5.401,5.427,5.451,5.472,5.487,5.503,5.513,5.518,5.525,5.534,5.548,5.564,5.604,5.612,5.616,5.616,5.612,5.608,5.603
"Andorra, Principality of","Gross domestic product (GDP), Constant prices, Percent change",,,,,,,,,,,,,,,,,,,,,,8.119,4.546,8.694,8.136,5.398,4.809,1.553,-5.559,-5.303,-1.975,-0.008,-4.974,-3.548,2.504,1.434,3.71,0.346,1.589,2.016,-11.184,8.287,9.565,2.584,3.373,2.4,1.6,1.5,1.5,1.5,1.5
Euro Area (EA),"Change in reserve assets, Net (assets minus liabilities), US dollar",,,,,,,,,,,,,,,,,,,,-10.806,-16.233,-15.956,2.429,-31.466,-15.488,-22.404,1.62,6.974,12.66,58.645,10.215,27.001,16.439,6.023,4.829,11.425,17.396,-1.455,29.893,6.596,15.185,154.281,18.863,-13.377,5.03,,,,,,
Finland,"All Items, Consumer price index (CPI), Period average",32.979,36.936,40.371,43.763,46.826,49.551,50.988,53.07,55.795,59.462,62.409,65.246,67.369,69.61,70.733,71.015,71.77,72.643,73.623,74.588,76.789,78.836,80.418,81.456,81.576,82.208,83.256,84.574,87.886,89.322,90.828,93.847,96.814,98.959,100.156,100,100.389,101.232,102.415,103.579,103.976,106.124,113.735,118.672,119.828,122.032,124.394,126.882,129.42,132.008,134.649
"Andorra, Principality of","All Items, Consumer price index (CPI), Period average, percent change",,,,,,,,,,,,,,,,,,,,,,,3.127,3.056,2.906,3.527,3.682,2.659,4.347,-1.217,1.706,2.552,1.467,0.475,-0.096,-1.132,-0.422,2.586,0.996,0.53,0.092,1.677,6.203,5.607,3.074,2.182,1.775,1.7,1.7,1.7,1.7
"Andorra, Principality of","Current account balance (credit less debit), US dollar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568,0.448,0.499,0.393,0.538,0.606,0.671,0.72,0.742,0.765,0.792,0.817
Finland,"Revenue, General government, Domestic currency",15.745,18.788,20.914,23.205,26.849,30.28,33.492,35.024,41.768,46.349,48.863,48.726,47.422,47.571,50.581,53.22,56.209,59.356,63.677,65.374,73.182,73.928,76.344,76.805,79.923,85.265,90.228,96.889,101.118,93.789,96.789,104.4,107.287,111.078,112.459,112.067,115.198,117.342,120.113,123.234,120.365,130.505,139.608,144.448,147.026,149.71,154.657,159.378,163.911,169.27,175.335
Japan,"Gross domestic product (GDP), Constant prices, Percent change",3.181,4.261,3.28,3.63,4.411,5.16,3.294,4.649,6.662,4.926,4.841,3.523,0.901,-0.459,1.083,2.631,3.134,0.981,-1.27,-0.334,2.765,0.386,0.042,1.535,2.186,1.804,1.372,1.484,-1.224,-5.693,4.098,0.024,1.375,2.005,0.296,1.561,0.754,1.675,0.643,-0.402,-4.169,2.697,0.96,1.245,0.104,1.076,0.633,0.634,0.551,0.524,0.496
Euro Area (EA),"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",,,,,,,,,,,,-0.754,-0.443,-1.123,-0.603,-2.674,0.424,1.311,1.563,1.99,2.055,1.223,0.292,-0.284,-0.165,-0.052,0.901,1.765,0.293,-3.798,-3.871,-1.639,-1.135,-0.592,-0.231,0.104,0.431,0.764,1.212,0.928,-5.657,-3.79,-1.859,-2.106,-1.456,-1.445,-1.607,-1.655,-1.457,-1.366,-1.245
